# Famous bright stars from Steve Kent & Alex Drlica-Wagner
# https://heasarc.gsfc.nasa.gov/W3Browse/star-catalog/bsc5p.html
# https://cdcvs.fnal.gov/redmine/projects/des-y6/wiki/Y6A2_Gold_foreground_regions
id,ra,dec,vmag,radius,name
6132,245.9979, 61.5142,  2.7400,  0.6000,14Eta Dra       
6146,247.1604, 41.8817,  5.0400,  0.5000,30    Her       
6148,247.5550, 21.4897,  2.7700,  0.6000,27Bet Her       
6165,248.9708,-28.2161,  2.8200,  0.6000,23Tau Sco       
6175,249.2896,-10.5672,  2.5600,  0.7000,13Zet Oph       
6212,250.3217, 31.6031,  2.8100,  0.6000,40Zet Her       
6217,252.1662,-69.0278,  1.9200,  1.0000,Alp TrA         
6299,254.4171,  9.3750,  3.2000,  0.5000,27Kap Oph       
6378,257.5946,-15.7247,  2.4300,  0.8000,35Eta Oph       
6406,258.6621, 14.3903,  3.4800,  0.5000,64Alp1Her       
6418,258.7617, 36.8092,  3.1600,  0.5000,67Pi  Her       
6461,261.3250,-55.5300,  2.8500,  0.6000,Bet Ara         
6536,262.6083, 52.3014,  2.7900,  0.6000,23Bet Dra       
6556,263.7338, 12.5600,  2.0800,  0.9000,55Alp Oph       
6603,265.8683,  4.5672,  2.7700,  0.6000,60Bet Oph       
6705,269.1517, 51.4889,  2.2300,  0.9000,33Gam Dra       
6832,274.4067,-36.7617,  3.1100,  0.5000,Eta Sgr         
6879,276.0429,-34.3847,  1.8500,  1.1000,20Eps Sgr       
7001,279.2346, 38.7836,  0.0300,  1.9000,3Alp Lyr        
7121,283.8163,-26.2967,  2.0200,  1.0000,34Sig Sgr       
7139,283.6258, 36.8989,  4.3000,  0.5000,12Del2Lyr       
7150,284.4325,-21.1067,  3.5100,  0.5000,37Xi 2Sgr       
7157,283.8337, 43.9461,  4.0400,  0.5000,13    Lyr       
7194,285.6529,-29.8803,  2.6000,  0.7000,38Zet Sgr       
7234,286.7350,-27.6706,  3.3200,  0.5000,40Tau Sgr       
7264,287.4408,-21.0236,  2.8900,  0.6000,41Pi  Sgr       
7310,288.1388, 67.6617,  3.0700,  0.5000,57Del Dra       
7528,296.2437, 45.1308,  2.8700,  0.6000,18Del Cyg       
7776,305.2529,-14.7814,  3.0800,  0.5000,9Bet Cap        
7869,309.3917,-47.2914,  3.1100,  0.5000,Alp Ind         
7886,309.4775, 18.2692,  6.2500,  0.5000,                
7957,311.3225, 61.8389,  3.4300,  0.5000,3Eta Cep        
8115,318.2342, 30.2269,  3.2000,  0.5000,64Zet Cyg       
8162,319.6450, 62.5856,  2.4400,  0.8000,5Alp Cep        
8232,322.8896, -5.5711,  2.9100,  0.5000,22Bet Aqr       
8308,326.0467,  9.8750,  2.3900,  0.8000,8Eps Peg        
8322,326.7600,-16.1272,  2.8700,  0.6000,49Del Cap       
8414,331.4458, -0.3197,  2.9600,  0.5000,34Alp Aqr       
8502,334.6254,-60.2597,  2.8600,  0.6000,Alp Tuc         
8560,337.4396,-43.7494,  4.1100,  0.5000,Del2Gru         
8650,340.7504, 30.2214,  2.9400,  0.5000,44Eta Peg       
